"","SeriesInd","group","Var01","Var02","Var03","Var05","Var07"
"543",41454,"S03",76.4871444285,150096800,75.1214294285,75.4228591428,76.4871444285
"544",41455,"S03",78.2300032856,238002800,76.5285721428,77.3657149999,77.4914321428
"545",41456,"S03",78.3157119999,170817500,76.9671401428,78.3099975714,77.7814254285
"546",41457,"S03",78.1142882856,107928100,77.5028534285,77.7485732856,77.8828582856
"547",41460,"S03",78.2114257142,202281100,75.1428604285,77.9171447142,76.1657181428
"548",41461,"S03",76.2414321428,202559700,73.7457122856,74.8085708571,75.7514267142
"549",41462,"S03",76.8257141428,199630200,74.7571411428,76.6857147142,75.8128585714
"550",41463,"S03",77.5699997142,129114300,76.0171432856,76.3842849999,77.4271392856
"551",41464,"S03",78.2485732856,104729800,77.5871429999,77.7442855714,77.8814315714
"552",41467,"S03",78.8571395713,101820600,78.1428604285,78.4257125714,78.8571395713
"553",41468,"S03",81.1685714285,172713800,79.3928604285,79.6485748571,81.1571425713
"554",41469,"S03",84.9599991428,354711000,82.1999969999,82.5785751428,84.2257155713
"555",41470,"S03",85.7157135713,289929500,82.6500015713,85.6585692856,83.6514282856
"556",41471,"S03",84.1714248571,206371900,82.5714264285,83.5314254285,83.6528548571
"557",41474,"S03",85.9671401428,225309000,84.1500015713,85.4814299999,85.8714294285
"558",41475,"S03",86.6999969999,204165500,84.4971465713,85.6442871428,86.5657119999
"559",41476,"S03",87.0928574285,161010500,85.9157181428,86.1057128571,86.0714264285
"560",41477,"S03",86.3571395713,155967700,85.0757141428,85.3971405713,85.6200027142
"561",41478,"S03",85.9714278571,107622200,84.9142837142,85.7842864285,85.1500015713
"562",41481,"S03",86.7357177142,148935500,85.0371398571,85.6842879999,86.7114257142
"563",41482,"S03",88.0400008571,151782400,86.5800018571,86.5971451428,87.7828598571
"564",41483,"S03",88.7785721428,163865100,87.1871414285,88.3399962856,88.2314299999
"565",41484,"S03",88.0800018571,152059600,86.7471465713,87.5400008571,87.1228561428
"566",41485,"S03",87.2228545713,182759500,85.4199981428,86.9671401428,85.6500015713
"567",41488,"S03",88.3957138571,149587900,85.7685699999,85.9757155713,88.3757171428
"568",41489,"S03",90.3157119999,208639900,88.9300002856,89.6142882856,89.9028548571
"569",41490,"S03",89.4085692856,143245200,88.1428604285,89.1928558571,89.1871414285
"570",41491,"S03",90.6657181428,160324500,89.0571441428,89.5685729999,90.5257109999
"571",41495,"S03",91.4057159999,149384200,89.3285751428,89.4471435713,90.8899994285
"572",41496,"S03",91.9999999999,222431300,89.4285735713,91.4185714285,89.7771454285
"573",41497,"S03",90.9814299999,174153700,89.0485687142,90.8857117142,89.4571457142
"574",41498,"S03",90.1900024285,153584200,88.6428604285,89.2857131428,88.9671401428
"575",41499,"S03",89.2428588571,214911200,86.2157135713,89.1585692856,86.4614257142
"576",41502,"S03",87.1828537142,262696700,82.6071395713,87.1514282856,82.8757171428
"577",41503,"S03",87.1428604285,256382000,81.7014312856,82.7057114285,87.0999984285
"578",41504,"S03",88.6071395713,238632800,86.1014251428,87.6742858571,86.9057159999
"579",41505,"S03",86.3899994285,208679800,83.5028534285,85.7457122856,83.9199981428
"580",41506,"S03",84.9457168571,257746300,81.4885711428,84.4828567142,81.8542861428
"581",41509,"S03",82.3814315713,241632300,79.5171432856,81.5157165713,81.6714248571
"582",41510,"S03",81.0985717142,269037300,79.2857131428,80.3728561428,80.0400008571
"583",41511,"S03",88.2857131428,226444400,86.5714264285,87.9485702856,87.1428604285
"584",41512,"S03",87.8128585713,134017100,86.0185699999,87.7528534285,86.8142852856
